Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-10-03T23:51:00+00:00,,,51.488394,-3.154300,Male,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2015-10-03T23:55:00+00:00,,,51.488394,-3.154300,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2015-10-04T00:19:00+00:00,,,51.667586,-3.521656,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-10-04T00:19:00+00:00,,,51.645962,-3.472844,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-04T00:26:00+00:00,,,51.645962,-3.472844,Female,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-04T00:32:00+00:00,,,51.645962,-3.472844,Female,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-04T00:38:00+00:00,,,51.645962,-3.472844,Female,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-04T01:02:00+00:00,,,51.618957,-3.937728,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,
Person search,2015-10-04T01:06:00+00:00,,,51.619347,-3.937037,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,
Person search,2015-10-04T02:24:00+00:00,,,51.602019,-3.342362,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Suspect arrested,,
Person search,2015-10-04T02:29:00+00:00,,,51.599883,-3.341982,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-10-04T06:11:00+00:00,,,51.498350,-3.229249,Male,18-24,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-10-04T15:35:00+00:00,,,51.634570,-3.938726,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Suspect arrested,,
Person search,2015-10-04T16:48:00+00:00,,,,,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-04T18:02:00+00:00,,,51.508557,-3.576440,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-04T23:59:00+00:00,,,,,Male,18-24,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-05T00:27:00+00:00,,,51.493706,-3.163596,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-10-05T00:43:00+00:00,,,51.608296,-3.658731,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person and Vehicle search,2015-10-05T01:26:00+00:00,,,51.497118,-3.192711,Male,18-24,Mixed - White and Black Caribbean (M1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person and Vehicle search,2015-10-05T01:26:00+00:00,,,51.497118,-3.192711,Male,18-24,Mixed - White and Black Caribbean (M1),Black,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-10-05T02:22:00+00:00,,,51.479408,-3.192277,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-10-05T02:57:00+00:00,,,51.625959,-3.468903,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-05T03:03:00+00:00,,,51.625959,-3.468903,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-05T03:37:00+00:00,,,51.674668,-3.927725,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,,
Person search,2015-10-05T04:16:00+00:00,,,51.674668,-3.927725,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,,
Person search,2015-10-05T04:28:00+00:00,,,51.674668,-3.927725,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,,
Person search,2015-10-05T04:29:00+00:00,,,51.521361,-3.114891,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,,
Person and Vehicle search,2015-10-05T13:04:00+00:00,,,,,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-05T14:41:00+00:00,,,51.585332,-3.460403,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-10-05T15:39:00+00:00,,,51.762790,-3.378934,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
