Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
19091dbdec19b59b1402863328880ff312b206d64f65cde9c25473986894a5ad,2015-11,Surrey Police,Surrey Police,-0.381769,51.387408,On or near NETLEY DRIVE,E01030362,Elmbridge 004B,Investigation complete; no suspect identified
f8f595603581bb41a71e2eebc40ec8ca994de39aec5a66afd47a938a7a921b0d,2015-11,Surrey Police,Surrey Police,-0.405564,51.388381,On or near CROWN CLOSE,E01030361,Elmbridge 004A,Investigation complete; no suspect identified
023625aa0ef71ac0cce77769d82ab322d0f750f64c80bb9ffbf7eec3b8ceb10f,2015-11,Surrey Police,Surrey Police,-0.407774,51.393870,On or near TERRACE ROAD,E01030361,Elmbridge 004A,Investigation complete; no suspect identified
c2de3fe698553dd987cbbac0c2532e7d1f0c5cdca8f0ad5ca3cb5570536a1694,2015-11,Surrey Police,Surrey Police,-0.405564,51.388381,On or near CROWN CLOSE,E01030361,Elmbridge 004A,Investigation complete; no suspect identified
309e281d7eac17887430d2a5728907771547e5c518df06f904f57d1e659e8d9d,2015-11,Surrey Police,Surrey Police,-0.413711,51.390929,On or near Parking Area,E01030363,Elmbridge 004C,Investigation complete; no suspect identified
1d61ca0e9dc98c6e2a6521b931fe5c2941e118c584d03a7102fdad62c111d399,2015-11,Surrey Police,Surrey Police,-0.404786,51.392984,On or near VICARAGE FIELDS,E01030364,Elmbridge 004D,Investigation complete; no suspect identified
c0e590122fd5ccc115c60c9abecb3181a1bf6b0b56424c74d006aedfd622439f,2015-11,Surrey Police,Surrey Police,-0.395944,51.376605,On or near COLNE DRIVE,E01030365,Elmbridge 008D,Investigation complete; no suspect identified
d16cca8baf35bcf701c3213f61c8ff05f58848545958b4f7acfc5fe15d683eaf,2015-11,Surrey Police,Surrey Police,-0.402671,51.382713,On or near EDGEHILL COURT,E01030354,Elmbridge 008A,Investigation complete; no suspect identified
8305a372044cd88ce75f9b824b603b8108adee6c5a405b8ea1c6f625018b1608,2015-11,Surrey Police,Surrey Police,-0.405144,51.383511,On or near PRESTON COURT,E01030354,Elmbridge 008A,Investigation complete; no suspect identified
40c61a6fe1029c918018892d01947f64a1ac3e00c86ea674e4fcd19c7e9de779,2015-11,Surrey Police,Surrey Police,-0.403202,51.383556,On or near NEWARK COURT,E01030354,Elmbridge 008A,Investigation complete; no suspect identified
b55a59de8c5e88e7210b1a5607c6bbff6d4f26f448d9819ceeb7c27577e5e86b,2015-11,Surrey Police,Surrey Police,-0.387038,51.378982,On or near Shopping Area,E01030355,Elmbridge 008B,Investigation complete; no suspect identified
e0e2f340d3a906f9b26dec31c5cecef68214503d99f3a6a002ad8f4ac1a9d31b,2015-11,Surrey Police,Surrey Police,-0.403718,51.384013,On or near LANGPORT COURT,E01030354,Elmbridge 008A,Investigation complete; no suspect identified
b234c14e89b90ce2b8d537399b7cd9cac5f89060509947fb05a14aade19a0cde,2015-11,Surrey Police,Surrey Police,-0.420722,51.381006,On or near LINDEN GROVE,E01030360,Elmbridge 007D,Investigation complete; no suspect identified
96cc81b842a5b13893a22f883a466f225d533beeabad1b581a6791b04636776e,2015-11,Surrey Police,Surrey Police,-0.423597,51.381800,On or near Sports/Recreation Area,E01030360,Elmbridge 007D,Investigation complete; no suspect identified
a2c984e8fee58301989043bf1986d61efa9d64a20728d17cd3c1522efa5413b4,2015-11,Surrey Police,Surrey Police,-0.416430,51.379203,On or near THE LINKS,E01030367,Elmbridge 010D,Investigation complete; no suspect identified
21fe4f58c26b871944627d87385ebdb905a7edf0244b6add6f378fc7d0956dd7,2015-11,Surrey Police,Surrey Police,-0.423343,51.373317,On or near SILVERDALE AVENUE,E01030360,Elmbridge 007D,Investigation complete; no suspect identified
4ee4dc350e6fa340b20a49c8d237f05fda93d587bf4c889ed943c9d60d7bd7bb,2015-11,Surrey Police,Surrey Police,-0.414669,51.372777,On or near Pedestrian Subway,E01030314,Elmbridge 010B,Investigation complete; no suspect identified
0bc7f7d586954647ec93b733589c4a7fad99242473c0e678bf3ed14863e1c0aa,2015-11,Surrey Police,Surrey Police,-0.413417,51.372427,On or near Parking Area,E01030314,Elmbridge 010B,Investigation complete; no suspect identified
15444c05511820167732fdecc638baa60cfc31323ee94c3ce9a37a94e32de3a1,2015-11,Surrey Police,Surrey Police,-0.410786,51.387814,On or near EGMONT ROAD,E01030358,Elmbridge 007B,Investigation complete; no suspect identified
c10cdea4028e0baaa77e1e8e7cbc114bc21965e144663351d8658979a2290a47,2015-11,Surrey Police,Surrey Police,-0.410101,51.388110,On or near EGMONT ROAD,E01030356,Elmbridge 008C,Investigation complete; no suspect identified
3e46f01e31ee6254321e34704631c350d50a63d05819b4354fde599e4ab9d1db,2015-11,Surrey Police,Surrey Police,-0.410914,51.385378,On or near NELSON CLOSE,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
2573dab29a4ac6ffa718982e7d9190d61d7627051c5b727323d6ce3c5cb184b4,2015-11,Surrey Police,Surrey Police,-0.413757,51.388762,On or near MONTAGUE CLOSE,E01030358,Elmbridge 007B,Investigation complete; no suspect identified
