Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5ad621c878b5c05481951a62fb3539abc26775701a72ba09b5f97dcc8a80420b,2015-11,Cleveland Police,Cleveland Police,-1.236569,54.575234,On or near Parking Area,E01012068,Middlesbrough 001A,Offender sent to prison
3b7e70fa8ba84abf6fcc6be2107fd08e736ae560c216aca47b80d16c083d4158,2015-11,Cleveland Police,Cleveland Police,-1.313651,54.570815,On or near Parking Area,E01012266,Stockton-on-Tees 014E,Defendant found not guilty
3ddaf0c999c60d704f684ebdc8c05a29e4465f58830952bc388060819ef7f80c,2015-11,Cleveland Police,Cleveland Police,-1.225560,54.566779,On or near EGMONT ROAD,E01012094,Middlesbrough 001F,Court case unable to proceed
21ef30dc83c716127fe9600f62efdeff7de8d52870d642e718351740964bb65d,2015-11,Cleveland Police,Cleveland Police,-1.313256,54.566706,On or near Shopping Area,E01012266,Stockton-on-Tees 014E,Offender sent to prison
3236c32b2562739082fa15f4f16c2b6f76a3919ef064b1d188aff6ed47bc060b,2015-11,Cleveland Police,Cleveland Police,-1.170003,54.577501,On or near STEELE CRESCENT,E01012170,Redcar and Cleveland 022D,Offender given community sentence
ea449e1f72c4aa6917166efcfbd3b25883b89d5881cdd98d20957b271d116cc5,2015-11,Cleveland Police,Cleveland Police,-1.246962,54.569511,On or near ENFIELD STREET,E01012036,Middlesbrough 003A,Offender otherwise dealt with
ec530f1b00f478bb1bdd7e116b1c013f781c65f6a349255ccf8ca6fb982d3689,2015-11,Cleveland Police,Cleveland Police,-1.353117,54.522467,On or near HIGHFIELD DRIVE,E01012201,Stockton-on-Tees 021C,Defendant found not guilty
eebd3e2de7e32f73d578c494a79060367ddd97f1ea8631113ca514befb8c1140,2015-11,Cleveland Police,Cleveland Police,-1.361941,54.562919,On or near Supermarket,E01012226,Stockton-on-Tees 015E,Offender given community sentence
ede7126c732db67f931ab2dbd9539b616004de849fba59635d90f9a107693cbc,2015-11,Cleveland Police,Cleveland Police,-1.076460,54.601781,On or near MABLETHORPE CLOSE,E01012129,Redcar and Cleveland 005C,Court case unable to proceed
5cde37f20f70c2221b7e0c62c256db7d0fd6ee601e6fdf2cb41efa8187701461,2015-11,Cleveland Police,Cleveland Police,-1.238548,54.575300,On or near Captain Cook Square,E01012068,Middlesbrough 001A,Offender given suspended prison sentence
