Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b4233e8688dfd193da59ecd5759911c2f2bc19e269c1defc1ec95b75f55655d0,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.280872,51.661208,On or near Sports/Recreation Area,E01023531,Hertsmere 007C,Investigation complete; no suspect identified
fe7a7460ec550ceefe2830b7938c1fdde3c186dd1b97d39c1bacdb411f594e38,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.271229,51.657380,On or near Petrol Station,E01023539,Hertsmere 011A,Investigation complete; no suspect identified
b6a4b28d19c18e8f0176e37e877e85fad695e0a2ad34ddf68078e1bf83329f17,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
0ec072224d7fa1fc485d8e3f42c45a9b809732d118766d7259a16c6bc4251749,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.258036,51.652698,On or near NORFOLK GARDENS,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
7618e2a0619f131fa507ac4260082a9d41c44c183e516cbf3e48716be8321bc6,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.316332,51.682467,On or near Supermarket,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
c1e786caf3419610e475ad2b9e602ab6bb98978ebd4fc8026cc4de5e63ca3e02,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.318657,51.686474,On or near Petrol Station,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
d54acc3534ab0c5ed2843540e710bf92a3ec92212a7b19fe69f22778ba1b7e1c,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.224752,51.691324,On or near SWANLAND ROAD,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
f71cb49aa6f87e14226b850df6f6086202321d79156b93eb83ee4663ee654ffe,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.274017,51.672285,On or near STANBOROUGH CLOSE,E01023534,Hertsmere 006A,Investigation complete; no suspect identified
16e8b35787188c59a1db351616bf193f8a27a2a7ee2ad184ffdb93334bae630d,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.282339,51.667164,On or near LEEMING ROAD,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
88ee8a23b1f94ac6042a06500f212b6a6f740e348d51d3ca0e374758d0612399,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268241,51.647408,On or near LULLINGTON GARTH,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
bfa27820fd651db8290aa2b6b901771d1d1ef02775d4d56d75e981e050b0a2d4,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.284981,51.664973,On or near ALCONBURY CLOSE,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
9a604531f58a0331498908e853f4023f71715729b75dd073e65c94d380acfcfa,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.277820,51.687564,On or near WOODHALL LANE,E01023583,Hertsmere 004C,Investigation complete; no suspect identified
9b82029ab0a352402d1af14ebed1a3a66d006c7bb5b356e46977ee1c5e823793,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
35f8e3405b0d47e23c0c2065cbeb5f48ae057d7dfa46d3bbe03258b6d6d40f1f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.282907,51.668576,On or near AYCLIFFE ROAD,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
c19bb560bcdc9bb2648a749d563afb5092706dc24d1046e096a43528dcdac224,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.233825,51.694617,On or near FROWYCKE CRESCENT,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
d40b6e5abd1aea52fd3a44bdeacc2cbe4722ab9451d92f5144ecf1fda2c26cfd,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.220578,51.687062,On or near WASH LANE,E01023567,Hertsmere 002A,Investigation complete; no suspect identified
0d2983444e02da2dad59fda3aa1c0288db9db8e4375a9fde2e895f2c2255850f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.316332,51.682467,On or near Supermarket,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
1fbf23e0769aaa71504b95b193e95c72eabbc314a073bb6ba245ee1152f0a2be,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.312040,51.687009,On or near BRENDON COURT,E01023523,Hertsmere 005A,Investigation complete; no suspect identified
9794ee32259eca46f995d48d2e143b83f5f4b43a616009695ed0f9d89016876f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.252506,51.655151,On or near Sports/Recreation Area,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
6943fe9ccec8b89b5f68d5e234d3255dba2340a7bc90db75b9091581c75cf401,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.252506,51.655151,On or near Sports/Recreation Area,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
5550f3098c00911761ceed82398746d97a00694c7af19053b96d7623a3dbc0d3,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.280573,51.654217,On or near Parking Area,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
80e60f000de9c2fe0f63baf3d22f2c4cb3794d817ddd7e1916d0ace8c917628b,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272157,51.659597,On or near FAIRWAY AVENUE,E01023538,Hertsmere 006E,Investigation complete; no suspect identified
f8dc19ad58c215d5f6824c993576f8265d06f783cad07ba2d4614597e01a207d,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.317646,51.684095,On or near WATLING STREET,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
8f86b8f3c65f4560f8e9fb5d25de04ba8f4cbb5baa8e631022387783d5c5231f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.312418,51.642225,On or near Park/Open Space,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
f95b7b4f2911f1039fdf776688e8eb43d70bd199971688dabbad21b0b9654cdb,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.232811,51.693172,On or near NEW ROAD,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
2cf8ec4381d3a9efb1a5182cc166ff1cddebdf0deed9f03c205e2b53a9e66eff,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.275182,51.661403,On or near CANTERBURY ROAD,E01023530,Hertsmere 007B,Investigation complete; no suspect identified
5cc45eb1f9630c96e66253ab5f311da8c0d03a7268b7bb9ad9f063fe30e0c4d1,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304488,51.637057,On or near A41,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
e56f2f9158b7c47f4f5e1f790ce52b31d6e0397a22e3ca3c09e64a573e8c619e,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.283615,51.667453,On or near BALDOCK WAY,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
cdfa9a04e74c7781d0d03b159d2587c329fd098656b3362accc9eef737c54c49,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.323707,51.695071,On or near WATLING KNOLL,E01023526,Hertsmere 005D,Investigation complete; no suspect identified
6929179d6a58c412faa5dac86d1ef3eb8272eda5469ab2477d05dc08f017b3ab,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.301612,51.640927,On or near COATES ROAD,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
91cb129b38cc1e9d8189525dff347a2284d4edf6f5895d99a9e2239f23f3f06f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.282339,51.667164,On or near LEEMING ROAD,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
683b015b20227a724c47f143bbdfc9c6618c28e8e7ee091003e797158fd24108,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268241,51.647408,On or near LULLINGTON GARTH,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
