Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5fa1d1468da0d911faef6b351111b25520b25aebf140eacc9fd316c7ae6b6abf,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
21176bac265cb036093a23644df563616d8b1d3deb5b12cf7e6da050fe485e93,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
821017c57e70c8a057049bf870577f3414735dc490f676f2a6b639f29b87341a,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bd646b5f276095f0965df929e49e639dc80477001669b11bb3453b7362587fdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
b906c7abd2232d30453b13586472a5d5734cac26a70b3388661ce48517625665,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
5598d66463b4c8a7a353b868e38921dbc79afcf5176741fc4ee0c6b93506811e,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.702641,52.262702,On or near REEVE CLOSE,E01030131,St Edmundsbury 003B,Investigation complete; no suspect identified
230c99ef95b68a52907a55e6fc7e4c435bb71f2cfa9d83c5ce15e6d2b72707d0,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.742610,52.475327,On or near NEPTUNE STREET,E01030265,Waveney 004F,Investigation complete; no suspect identified
d6b60deff73efaac57280a4c295701efec6ad60b8b7a7fc267b738ed7298a3e7,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.370970,52.267377,On or near MILL LANE,E01029937,Forest Heath 006A,Investigation complete; no suspect identified
3951fa744c11d8778e141c879c8e2b609888e8878f2dfff9d4229f37957af0a1,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.173632,52.054313,On or near ROSEBERY ROAD,E01029962,Ipswich 007E,Investigation complete; no suspect identified
4aba0c74b5157fa393470877ecd30bd0e5961ae6a4c93554e5be0a6f2ab1d54b,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.602382,52.324028,On or near THE FARTHINGS,E01029941,Forest Heath 005A,Investigation complete; no suspect identified
af165e3098d644ad2bb0160564bfba78d3130c06970543910119cee53624c795,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.438516,52.456919,On or near BRIDGE STREET,E01030230,Waveney 013A,Investigation complete; no suspect identified
03c1bdde15bb431e558d7384af0ccf122de2d9fde6120049af221c9db34993cc,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.558419,52.193506,On or near POST OFFICE ROAD,E01030186,Suffolk Coastal 003A,Investigation complete; no suspect identified
c53d44cf65adcea67f312df45d8e74ef8c10d0cfa01c7a42d28e34a38a5d5ffd,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.298087,52.096160,On or near GRUNDISBURGH ROAD,E01030185,Suffolk Coastal 008B,Investigation complete; no suspect identified
17f133f173bd6e26ccf19889a99b48f4e1017e5b3baf106afb864c6cb816ce5b,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.479287,52.321359,On or near HALESWORTH ROAD,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
c316bc19965fec8028d743bd79b65c14d599785e88f2b1ee94af8b383cdbfe75,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.233041,52.084617,On or near SPRING MEADOW,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
69d00256febcf43615adc76f164596373269dc6d7e5875285a1c32b0c4ba904b,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.416081,52.083566,On or near RAINE AVENUE,E01030116,St Edmundsbury 013B,Investigation complete; no suspect identified
2c5e8151fa05e1d48888eeae8778b6e7f421cc6b6ce55f19a2dca7a8973d32d3,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.739384,52.478100,On or near THE CROFT,E01030264,Waveney 004E,Investigation complete; no suspect identified
6ec7e71e2e3bd9e52d0167e2c6bc2bfa405313315c23c9b558ddc1306cee64b9,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.120601,52.077540,On or near WATERFORD ROAD,E01030031,Ipswich 003E,Investigation complete; no suspect identified
7fc2c7f543eb22d89177cd504835691606ba23a8e1a87105422f7f4a561da112,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.162841,52.070478,On or near WESTERFIELD ROAD,E01030011,Ipswich 005E,Investigation complete; no suspect identified
a05b3c6f89017377e56f166931d555d9cbdf675897b70577a5c240e7b2732f66,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.003273,52.343037,On or near FEN LANE,E01030067,Mid Suffolk 002E,Investigation complete; no suspect identified
c1b56cc79519720e990545e6cc5f9e0fff81d30fb80465d1afe695d2dfe0a06c,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.750268,52.473744,On or near STATION SQUARE,E01030250,Waveney 004D,Investigation complete; no suspect identified
417b26bef624c567d395970c0b65a31a4b24ff1aae2d5acb0d5afd25c6b63854,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.810040,52.168312,On or near FELSHAM ROAD,E01029907,Babergh 001C,Investigation complete; no suspect identified
